text,number_sentiment
Layin n bed with a headache  ughhhh...waitin on your call...,2
Just found out one of my coworkers that I actually like is leaving.,2
i can`t studyyyyyyyyyyyyyyyyyyyyyyyyy  i have an exam tom,2
() Oh snap!  Just broke my windshield while replacing my wiper blades.,2
"made it into leadership, buttt i`m still not happy! how can i enjoy it without my best friend?",2
havent been on in awhile.  no point anyways,2
Cleaning + finding stuff to sell. I`m so poor.,2
 i guess ill never have it  but the sad thing is that u didn`t put an Alternate e-mail!! cause if u dont remember ur secret,2
  im just so lonely right now. maybe SADE GOT ME FEELING LIKE THIS,2
 just called me a cheeseburglar. He made me sad,2
 i miss you  when are you gonna be down in irvine again?? liz and i were just reminiscing about all our adventures.,2
 given the way kunal khemu etc. starrers turn out..there is a high probability of it being `****` rather than `niche`!,2
 WHAT?! i was wanting to see that show!!,2
Still not asleep. Ahhh  Wtf?!,2
" How hard is it 2 be running back an forth constantly? Ya kno workin all the time, havin crazy sleepin schedules? Must be hard",2
" I`m sorry, Andrew. I wish there was something I could do...",2
"  Oh no matey, did you get ill?  It would be a bit mean of Suzi to be calling you chicken scabs if you`re not!",2
 just stop talking if ur gonna be that mean,2
 Sorry  I`ll make sure to bomb in talk at SSUG next month as penance ;-),2
Is wondering if my ankle will ever stop hurting,2
" I`m sowwy.   It sucks, I know, I`ve been there. Yay for half days though!",2
blast from the ****`ing past. NTS why must you suck so badly at school?,2
 I always feel guilty about it,2
"i have officially hit the wall, totally nonfunctionalproductive at work",2
My dad is taking me to school & picking me up tomoz. Plus I have drama almost all day. Score bludge day,2
"I`m bored... Don`t want to stay home tonight, but don`t want to spend money  blah",2
"Im not doing the hunt, i was in the middle of making it but all my work got erased  sry guys, now i look like a idiot for replying 2 all u",2
 miss you,2
"Whoops! Start Trek,...not Start! Duh.",2
"wanna b marie antoinette, cos she had perfect hairdo, fab clothes, n tons of macarons.  Crappy day",2
"i dislike math, but math HATES me",2
my son got stung by a bug for the first time  his little finger is slightly swollen.,2
rec game....trying not to cry...the pain is to much..i need him...can`t lose him </3...my heart is breakingg,2
miss my hubby already!,2
Pooping in a Pennsylvania rest stop!  I hate using public toilets,2
"is watching big brothes big quiz    ,       rather tiredd    , but downloading a dvd so have to wait till finished till i can go to bed",2
zoita had a cardio apt. 2day. doc says her hole-in-the-heart hasn`t closed. she`ll need the surgery to close it http://ghurm.tumblr.com,2
 it was way worse than that ...and where were you why didnt you say hello?,2
 OMG! I KNOW!  I give myself a stroke everytime I go getting mad at them. (Quietly with the windows rolled up.    ),2
"sorry paul scheuring, but prison break series finale sucked... in so many levels",2
 OMG!!! That`s a nightmare,2
"http://twitpic.com/675tw - Square B - she is sad because she wasn`t there and now she`s, well, square  (crocheted bee with poly fibe ...",2
 Oh no! Dead muffins ... how sad,2
 cupcake!!  you can call me anything but 'bitch' i suppose..and even then under certain circumstances....,2
 Have you noticed that we`re at the beginning of what may be the worst recession since the 1930`s ?,2
 i can so sympathise with that,2
Im only failing 1 class.... Algebra 2 **** it that **** is hard!,2
Drew`s new songs make me cry.  I miss Thomas already!,2
 I don`t find this stuff amusing any more,2
"Dad just said that our trip to UK is cancelled, due to da swine flu. Ooops! Sorry abang.",2
yeha i broke their page... damit... im trying to fix it how... hope you dont bank with communityfirstandtrust,2
Lunch sucked ran out of time  didn`t get anything done,2
"i wanna do something tonight, but that doesnt look very promising",2
****. It`s raining again,2
" that truely is sad news to hear  we are all created equal, so sad to know our neighbors are such prejudice people",2
it`s gloomy outside,2
My voice hurts. No We We Rock You the musical singing tonight..,2
 Link didn`t work,2
Who`d have thought Wallace & Gromit and the team behind Monkey Island could have combined so disastrously?,2
This will be the worst day ever....graduation,2
 Missed you last night hon,2
I miss laughing till my stomache hurts,2
"feeling very stressed and strung out, awake at 4.50am, mind buzzing... and Mrs Dr. A is not talking to me",2
I`m completely exhausted thanks to yesterday.  Can I go home yet?,2
Sometimes I forget that boys have feelings too,2
 Yeah they are! So stop making fun of me! I gotta get new ones,2
i want to see my bud mel  miss hur loads,2
 i miss yoooooooou my poia,2
i miss oklahomaaaaa  listening to citizen cope til i pass out.,2
Rachel and chelsey left me and jenny stole my bike.  that makes me muy triste!,2
I hate this weather  i wanna bake,2
almost got in a giant car accident on the 101,2
 I haven`t had one for a long time. Too expensive,2
 and Radio X 96.1 is going all sports next month. Radio is dead.  #grandrapids,2
On the bus goin 2 work but omg seriously im sooooo tired dont know if i`ll survive the 8 hour shift,2
http://twitpic.com/4ja12 - we were bored,2
http://twitpic.com/674p1 -  this is my Ohio is for lovers tattoo got the design off the shirt.. haha but I lost the shirt,2
My throat hurts so bad that i dont even want to swallow my own spit.       And i officially cant talk now....,2
My ipod has taken it`s last breath... Im truly devastated. I have lost my public transportation companion,2
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,2
 Is a **** but she`ll never know I said it cuz she doesn`t love her twitter,2
"Hey Fused Gaming, FusedGaming Forums have been delayed until 9PM PT/12AM ET tonight... sorry   (abean2007 live > http://ustre.am/1ntp)",2
_perfect I`m trying to self learn photoshop but it`s not going so well!,2
 There is a motorcycle for sale down the road. Mind you it`d be stupid of me to get it. Summer 5 months away.,2
 How did we just get paid and still be broke as hell?! No shopping spree for me today,2
tonights been boring!,2
 i forgot the yardsale event! ooh how pity i am,2
Mean people suck.,2
"I don`t have MTV,. What am I going to DO?!! fmlllll",2
_ What did he say about it?? Gosh! I missed the yesterday live chat.. I was at bed.. sick,2
Computer is packed away. There goes my life. Right into a cardboard box.,2
" so wish I was there with ya, but at 6:48am Belgian time I was sleeping...time diff sucks. Take me there!",2
I ate to much lunch...now I don`t want to work,2
 Well I guess the McCafe=tastes like **** cured ur craving? You get the McSkillet? Me Wants,2
"hurt my left knee somehow last night, hurts to walk",2
 who cares its hockey,2
_Megan_**** Same! Like the kisses on nights when she wasnt up for eviction! They were very badly edited,2
8:30PM... it has just hit me i have school tomorrow :O ahaha! I`ll stay on til 9 i think  ****,2
Whyyy am I still awake when I have to work at 8?! This is not good,2
Well that sucked except for the company I had. Go Kelly.,2
"curses, firewall/proxy server restrictions!  it will have to wait until I get home",2
"OK crowdsourcing failed,",2
Hmm maybe I this time I really did over react and do the worst,2
"When life, as you know it, doesn`t exist anymore.",2
 i am jealous of your mom talking to . i want to see you all our twittering is making me miss you,2
its too sunny for work  !!!,2
i got a bruise on my foot out if nowhere!  it hurts!,2
now i`m awake i can`t get back to sleep,2
Here`s a big moan for Dave Leyrock... IM UP IN 8HRS!  pity me! Coloursfest ahoy xo,2
roll me in your arms cuz i cant remember ever falling this hard.. -avalanche by DC,2
_crisis deathmatch? I don`t have that game. Plus.... I`m not really good at any games  lol,2
Sometimes black girls just piss me off like a ****!,2
"Its sooooooooo not funny when I have to move from computer to computer to render and draw. Come on, Revit! AutoCAD was never this bad.",2
i bit my tongue sooo bad...it`s swollen.,2
 man i missed it!! Ive been waitn all day 4 u 2 giv the tix away & then whn im rappn up @ wrk u gav my tix away! Im sad!,2
